type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information,source_file,type of bacteria,concentration of bacteria
Bezaktiv S-BF turquoise,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,1 day,5,54%,nd (not determined),Decolouration+of+textile+dyes+by+fungal+pellets_.txt,,
Bezaktiv S-BF turquoise,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,4 days,5,71%,nd (not determined),Decolouration+of+textile+dyes+by+fungal+pellets_.txt,,
,Trametes hirsuta,,,shaking,25°C,20 days,5.8,7614 U/L,Maximum laccase activity observed on the 20th day of fermentation.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,1 mM,,shaking,25°C,3 days,5.8,23543 U/L,"Enhanced laccase production with the addition of 2, 5 xylidine.",Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,0.25 mM,,shaking,25°C,5 days,5.8,17074 U/L,Maximum laccase activity achieved at 1 mM copper sulphate.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,0.5 mM,,shaking,25°C,5 days,5.8,,Laccase production varies with different concentrations of copper sulphate.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,0.75 mM,,shaking,25°C,5 days,5.8,,Laccase production varies with different concentrations of copper sulphate.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,1 mM,,shaking,25°C,5 days,5.8,,Laccase production varies with different concentrations of copper sulphate.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,1.5 mM,,shaking,25°C,5 days,5.8,,Inhibition of laccase production observed at this concentration.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,1.75 mM,,shaking,25°C,5 days,5.8,,Inhibition of laccase production observed at this concentration.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,2 mM,,shaking,25°C,5 days,5.8,,Inhibition of laccase production observed at this concentration.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,0.25 mM,,shaking,25°C,5 days,5.8,,Inhibition of laccase production observed at this concentration.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,0.5 mM,,shaking,25°C,5 days,5.8,,Inhibition of laccase production observed at this concentration.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,0.75 mM,,shaking,25°C,5 days,5.8,,Inhibition of laccase production observed at this concentration.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,1 mM,,shaking,25°C,5 days,5.8,,Inhibition of laccase production observed at this concentration.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,1.5 mM,,shaking,25°C,5 days,5.8,,Inhibition of laccase production observed at this concentration.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,1.75 mM,,shaking,25°C,5 days,5.8,,Inhibition of laccase production observed at this concentration.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,2 mM,,shaking,25°C,5 days,5.8,,Inhibition of laccase production observed at this concentration.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,,20 g/L,shaking,25°C,,5.8,9300 U/L,Wheat bran as carbon source yielded maximum laccase activity.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
,Trametes hirsuta,,10 g/L,shaking,25°C,,5.8,17390 U/L,Peptone as nitrogen source combined with wheat bran produced high laccase activity.,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,,
Acid Orange 20,Agaricus bisporus,0.1 mM,0.6 μg protein,stirring,30°C,24 h,3,++,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Acid Orange 20,Agaricus bisporus,0.1 mM,0.6 μg protein,stirring,30°C,24 h,5,+++,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Acid Orange 20,Agaricus bisporus,0.1 mM,0.6 μg protein,stirring,30°C,24 h,7,++,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Direct Blue 1,Agaricus bisporus,0.1 mM,0.6 μg protein,stirring,30°C,24 h,3,++,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Direct Blue 1,Agaricus bisporus,0.1 mM,0.6 μg protein,stirring,30°C,24 h,5,++,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Direct Blue 1,Agaricus bisporus,0.1 mM,0.6 μg protein,stirring,30°C,24 h,7,+,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Basic Blue 1,Agaricus bisporus,0.1 mM,0.6 μg protein,stirring,30°C,24 h,3,+,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Basic Blue 1,Agaricus bisporus,0.1 mM,0.6 μg protein,stirring,30°C,24 h,5,+,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Basic Blue 1,Agaricus bisporus,0.1 mM,0.6 μg protein,stirring,30°C,24 h,7,+,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Acid Orange 20,Lentinus edodes,0.1 mM,0.6 μg protein,stirring,30°C,24 h,3,+++,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Acid Orange 20,Lentinus edodes,0.1 mM,0.6 μg protein,stirring,30°C,24 h,5,+++,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Acid Orange 20,Lentinus edodes,0.1 mM,0.6 μg protein,stirring,30°C,24 h,7,++,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Direct Blue 1,Lentinus edodes,0.1 mM,0.6 μg protein,stirring,30°C,24 h,3,+++,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Direct Blue 1,Lentinus edodes,0.1 mM,0.6 μg protein,stirring,30°C,24 h,5,+++,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Direct Blue 1,Lentinus edodes,0.1 mM,0.6 μg protein,stirring,30°C,24 h,7,++,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Basic Blue 1,Lentinus edodes,0.1 mM,0.6 μg protein,stirring,30°C,24 h,3,+,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Basic Blue 1,Lentinus edodes,0.1 mM,0.6 μg protein,stirring,30°C,24 h,5,+,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Basic Blue 1,Lentinus edodes,0.1 mM,0.6 μg protein,stirring,30°C,24 h,7,+,,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,,
Lignin,Bjerkandera adusta R59,0.2%,10^5 cfu ml-1,stationary conditions,26ºC,60 days,initial pH 6.54,100%,Total decolorization after 18 days.,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt,,
Humic acids from brown coal,Bjerkandera adusta R59,0.03%,10^5 cfu ml-1,stationary conditions,26ºC,60 days,initial pH 6.51,100%,Total decolorization after 14-18 days.,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt,,
Humic acids from lessive soil,Bjerkandera adusta R59,0.03%,10^5 cfu ml-1,stationary conditions,26ºC,60 days,initial pH 6.43,100%,Total decolorization after 14-18 days.,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt,,
Humic acids from chernozem,Bjerkandera adusta R59,0.01%,10^5 cfu ml-1,stationary conditions,26ºC,60 days,initial pH 6.40,100%,Total decolorization observed on the 7th day.,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt,,
Reactive Blue 21,Pleurotus eryngii,50 mg/l,Not specified,150 rpm,30°C,72 hours,Not specified,98.4%,Best decolorization percentage among tested dyes.,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt,,
Reactive Yellow 160,Pleurotus eryngii,50 mg/l,Not specified,150 rpm,30°C,72 hours,Not specified,96.8%,,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt,,
Reactive Orange 122,Pleurotus eryngii,50 mg/l,Not specified,150 rpm,30°C,72 hours,Not specified,97.1%,,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt,,
Direct Congo Red,Pleurotus eryngii,50 mg/l,Not specified,150 rpm,30°C,72 hours,Not specified,97.8%,,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt,,
Direct Yellow 5G,Pleurotus eryngii,50 mg/l,Not specified,150 rpm,30°C,72 hours,Not specified,76%,,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt,,
Acid Methyl Orange,Pleurotus eryngii,50 mg/l,Not specified,150 rpm,30°C,72 hours,Not specified,61.1%,,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt,,
Acid Eriochrome Black T,Pleurotus eryngii,50 mg/l,Not specified,150 rpm,30°C,72 hours,Not specified,96.9%,,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt,,
Reactive Blue 21,Pleurotus eryngii,50 mg/l,Immobilized on sugar cane waste,150 rpm,30°C,4 hours,Not specified,83.5%,Best decolorization with immobilized fungi.,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt,,
Reactive Blue 21,Pleurotus eryngii,50 mg/l,Free,150 rpm,30°C,72 hours,Not specified,50.8%,,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt,,
Sm-g,Phanerochaete chrysosporium,50 mg l−1,,rotary shaker,30 °C,7 days,4.5,"75% at day 7, 83% at day 14",Inoculated using PAM as pre-growth medium,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt,,
Sm-g,Phanerochaete chrysosporium,50 mg l−1,,rotary shaker,30 °C,14 days,4.5,64% at day 14,Inoculated using TWA as pre-growth medium,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt,,
Sm-g,Phanerochaete chrysosporium,50 mg l−1,,rotary shaker,30 °C,14 days,4.5,20% dye concentration remaining at day 7,Inoculated using MEA as pre-growth medium,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt,,
Sm-g,Phanerochaete chrysosporium,50 mg l−1,,rotary shaker,30 °C,28 days,4.5,30% at day 28 when pre-adapted to S p-g,Comparison of dye biodegradation performance,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt,,
S p-g,Phanerochaete chrysosporium,50 mg l−1,,rotary shaker,30 °C,28 days,4.5,89%,Best biodegradation performance observed,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt,,
C m-s,Phanerochaete chrysosporium,50 mg l−1,,rotary shaker,30 °C,28 days,4.5,88%,High average biodegradation percentage,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt,,
C m-g,Phanerochaete chrysosporium,50 mg l−1,,rotary shaker,30 °C,28 days,4.5,88%,High average biodegradation percentage,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt,,
S m-s,Phanerochaete chrysosporium,50 mg l−1,,rotary shaker,30 °C,28 days,4.5,85%,High average biodegradation percentage,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt,,
S m-g,Phanerochaete chrysosporium,50 mg l−1,,rotary shaker,30 °C,28 days,4.5,83%,High average biodegradation percentage,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt,,
Malachite Green,Phanerochaete chrysosporium,64 µM,Not specified,Solid medium,28°C,60h,5.6,Unable to grow,,Malignant+transformation+by+malachite+green_.txt,,
Malachite Green,Phanerochaete chrysosporium,32 µM,Not specified,Solid medium,28°C,84h,5.6,Delayed growth,,Malignant+transformation+by+malachite+green_.txt,,
Malachite Green,Fomes sclerodermeus,128 µM,Not specified,Solid medium,28°C,9 days,5.6,Unaffected growth,Filled half the plate,Malignant+transformation+by+malachite+green_.txt,,
Malachite Green,Fomes sclerodermeus,32 µM,Not specified,Liquid medium,28°C,Not specified,6.4,Delayed growth at 16 µM,,Malignant+transformation+by+malachite+green_.txt,,
Malachite Green,Fomes sclerodermeus,32 µM,Not specified,Liquid medium,30°C,Not specified,3.5,Decolorization observed,Measured at 618 nm,Malignant+transformation+by+malachite+green_.txt,,
Malachite Green,Fomes sclerodermeus,32 µM with 1-HBT,Not specified,Liquid medium,30°C,24h,3.5,Increased decolorization rate,200-fold increase with 1-HBT,Malignant+transformation+by+malachite+green_.txt,,
Decolorized Malachite Green (DMG),Phanerochaete chrysosporium,"2, 10, and 40 µM",Not specified,Solid medium,Not specified,7 days,Not specified,Non-toxic,Growth kinetics similar to control,Malignant+transformation+by+malachite+green_.txt,,
Acid Red 151,A. flavus SA2,20 mg l-1,0.001% (w/v),shaking,30°C,192 hrs,5.6,97.70%,"Products formed: alpha naphthol, sulfanilic acid, aniline",Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt,,
Acid Red 151,Alternaria spp. SA4,20 mg l-1,0.001% (w/v),shaking,30°C,192 hrs,5.6,98.47%,"Products formed: alpha naphthol, sulfanilic acid, aniline",Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt,,
Acid Red 151,A. tereus SA3,20 mg l-1,0.001% (w/v),shaking,30°C,192 hrs,5.6,55%,"Products formed: alpha naphthol, sulfanilic acid, aniline",Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt,,
Acid Red 151,Penicillium spp. SA5,20 mg l-1,0.001% (w/v),shaking,30°C,192 hrs,5.6,65%,"Products formed: alpha naphthol, sulfanilic acid, aniline",Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt,,
Orange II,A. flavus SA2,20 mg l-1,0.001% (w/v),shaking,30°C,192 hrs,5.6,48%,Products formed: alpha naphthol,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt,,
Orange II,A. tereus SA3,20 mg l-1,0.001% (w/v),shaking,30°C,192 hrs,5.6,44.67%,Products formed: alpha naphthol,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt,,
Orange II,Alternaria spp. SA4,20 mg l-1,0.001% (w/v),shaking,30°C,192 hrs,5.6,58.66%,Products formed: alpha naphthol,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt,,
Orange II,Penicillium spp. SA5,20 mg l-1,0.001% (w/v),shaking,30°C,192 hrs,5.6,55.68%,Products formed: alpha naphthol,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt,,
Acid Red 151,Penicillium spp.,20 mg l-1,0.001% (w/v),static,30°C,8 days,5.6,255% increase,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt,,
Orange II,A. flavus SA2,20 mg l-1,0.001% (w/v),static,30°C,8 days,5.6,112% increase,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt,,
Orange II,Alternaria spp.,20 mg l-1,0.001% (w/v),static,30°C,8 days,5.6,111% increase,,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt,,
Corn stover and Banana stalk,Schyzophyllum commune,1270000 U,11.3-fold,not specified,not specified,not specified,not specified,not specified,Yasmeen et al. (2013),Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
"Glucose, Yeast extract, Malt extract",Pleurotus ostreatus,906000 U,10.8-fold,not specified,not specified,not specified,not specified,not specified,Periasamy and Palvannan (2010),Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
Nut shell and Cyanobacteria biomass,Coriolus versicolor MTCC138,163000 U,12.6-fold,not specified,not specified,not specified,not specified,not specified,Mishra et al. (2008),Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
"Glucose, Ammonium tartate, Tween 80",Phellinus noxius hpF17,780 U,11.4-fold,not specified,not specified,not specified,not specified,not specified,Poojary and Mugeray (2012),Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
Barley,T. hirusta,25889 U,11.8-fold,not specified,not specified,not specified,not specified,not specified,Bakkiyaraj et al. (2013),Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
"Rice bran, Wheat bran and Corn husk",Rigidoporous sp.,4.25 U,13.5-fold,not specified,not specified,not specified,not specified,not specified,Sridah et al. (2012),Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
Wheat bran,Fomes fomentarius,150 U,12.3-fold,not specified,not specified,not specified,not specified,not specified,Niefar et al. (2011),Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
Nut shell and Cyanobacteria biomass,WRF-1,352 U,11.3-fold,not specified,not specified,not specified,not specified,not specified,Kumar and Mishra (2011),Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
Barley,Coriolus sp.,2661 U,16.5-fold,not specified,not specified,not specified,not specified,not specified,Mathur et al. (2013),Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
Pyrogallol,Cerrena unicolor,151600 U,12.5-fold,not specified,not specified,not specified,not specified,not specified,Elisashvili et al. (2010),Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
TNT,T. versicolor,8400 U,12.8-fold,not specified,not specified,not specified,not specified,not specified,not specified,Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
Copper,Coprinus comatus,150 U,13.4-fold,not specified,not specified,not specified,not specified,not specified,Lu and Ding (2010),Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
Manganese,Coprinus comatus,225 U,14.4-fold,not specified,not specified,not specified,not specified,not specified,Lu and Ding (2010),Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
Caﬀeic acid,Coprinus comatus,188 U,13.3-fold,not specified,not specified,not specified,not specified,not specified,Lu and Ding (2010),Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
